Initial Neurons:;8;
Initial Learning Rate:;0.9;
temperature;matter;floors;groundArea;totalArea;burning;x;y;z;hits;spreadCounter;new;
0.5;0.5;0.4;0.6862139917695473;0.29190371991247266;1.0;0;1;1;1;0;
0.5;0.5;0.8;0.19753086419753085;0.16805251641137856;1.0;1;1;0;1;0;
0.25;1.0;0.8;0.2705761316872428;0.2301969365426696;1.0;0;0;0;1;0;
0.0;0.0;0.2;0.6738683127572016;0.14332603938730853;0.0;0;1;0;1;0;
1.0;0.5;0.4;0.3220164609053498;0.13698030634573305;1.0;0;1;1;2;0;
0.25;1.0;1.0;0.757201646090535;0.8052516411378556;1.0;1;1;0;2;0;
1.0;0.0;0.4;0.9557613168724279;0.40656455142231945;1.0;1;0;0;1;0;
0.5;0.0;0.4;0.9958847736625515;0.4236323851203501;1.0;1;1;1;1;0;
1.0;0.5;1.0;0.23868312757201646;0.2538293216630197;1.0;1;1;0;3;0;
0.0;1.0;0.4;0.7150205761316872;0.3041575492341357;0.0;1;0;0;2;0;
0.25;1.0;0.4;0.698559670781893;0.29715536105032825;1.0;1;1;1;2;0;
1.0;0.5;1.0;0.8106995884773662;0.862144420131291;1.0;0;0;0;2;0;
0.75;1.0;0.8;0.7283950617283951;0.6196936542669584;1.0;1;0;1;1;0;
1.0;0.5;0.6;0.37551440329218105;0.23960612691466082;1.0;1;1;0;4;0;
0.5;0.0;0.2;0.4351851851851852;0.0925601750547046;1.0;0;0;1;1;0;
0.5;0.0;0.4;0.5524691358024691;0.2350109409190372;1.0;1;0;0;3;0;
1.0;1.0;0.2;0.3065843621399177;0.06520787746170678;1.0;0;0;0;3;0;
0.75;1.0;1.0;0.9403292181069959;1.0;1.0;0;1;1;3;0;
0.25;1.0;0.6;0.5524691358024691;0.35251641137855577;1.0;1;0;1;2;0;
1.0;0.5;0.2;0.4104938271604938;0.08730853391684902;1.0;0;1;0;2;0;
0.25;1.0;0.2;0.32407407407407407;0.06892778993435449;1.0;1;1;0;5;0;
0.25;1.0;0.4;0.9362139917695473;0.3982494529540481;1.0;0;0;0;4;0;
0.5;0.0;0.2;0.8446502057613169;0.17964989059080963;1.0;1;1;1;3;0;
0.75;1.0;0.2;0.6893004115226338;0.14660831509846828;1.0;0;1;1;4;0;
0.75;0.5;0.2;0.9783950617283951;0.20809628008752734;1.0;1;0;0;4;0;
0.25;0.5;0.4;0.2109053497942387;0.08971553610503283;1.0;1;0;1;3;0;
